,Make_0,Make_1,Make_2,Make_3,Make_4,MonthClaimed,WeekOfMonthClaimed,MaritalStatus_0,MaritalStatus_1,MaritalStatus_2,Age,PolicyType_0,PolicyType_1,PolicyType_2,PolicyType_3,VehiclePrice,Deductible,DriverRating,Days_Policy_Accident_0,Days_Policy_Accident_1,Days_Policy_Accident_2,Days_Policy_Claim,PastNumberOfClaims_0,PastNumberOfClaims_1,PastNumberOfClaims_2,AgeOfVehicle,NumberOfSuppliments_0,NumberOfSuppliments_1,NumberOfSuppliments_2,AddressChange_Claim,NumberOfCars,Year,ClaimSize,AccidentArea_Urban,Sex_Male,Fault_Third Party,PoliceReportFiled_Yes,WitnessPresent_Yes,AgentType_Internal,FraudFound_P,cluster_labels
0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.2625,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.2857142857142857,0.0,0.0,1.0,0.5,0.5,0.0,0.5329068692125654,1.0,0.0,0.0,0.0,0.0,0.0,0,3
1,0.0,0.0,0.0,0.0,1.0,0.0,0.75,0.0,0.0,1.0,0.42500000000000004,0.0,0.0,1.0,0.0,1.0,0.25,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.7142857142857142,0.0,0.0,1.0,0.0,0.0,0.0,0.5690736443134806,1.0,1.0,0.0,1.0,0.0,0.0,0,3
2,0.0,0.0,0.0,0.0,1.0,0.9090909090909092,0.25,0.0,1.0,0.0,0.5875,0.0,0.0,1.0,0.0,1.0,0.25,0.6666666666666667,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.8571428571428571,0.0,0.0,1.0,0.0,0.0,0.0,0.6886813228724962,1.0,1.0,0.0,0.0,0.0,0.0,0,2
3,0.0,0.0,0.0,1.0,0.0,0.5454545454545454,0.0,0.0,1.0,0.0,0.8125,0.0,0.0,1.0,1.0,0.2,0.25,0.3333333333333333,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.07278828730237892,0.0,1.0,1.0,1.0,0.0,0.0,0,2
4,0.0,0.0,0.0,0.0,1.0,0.09090909090909091,0.5,0.0,1.0,0.0,0.45,0.0,0.0,1.0,0.0,1.0,0.25,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.8571428571428571,0.0,1.0,1.0,0.0,0.0,0.0,0.9457810981666455,1.0,1.0,1.0,0.0,0.0,0.0,0,2
5,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.375,0.0,0.0,1.0,0.0,1.0,0.25,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.7142857142857142,1.0,0.0,0.0,0.0,0.0,0.0,0.5486532708035795,1.0,1.0,0.0,0.0,1.0,0.0,0,3
6,0.0,0.0,0.0,1.0,1.0,0.18181818181818182,0.5,0.0,0.0,1.0,0.8875000000000001,0.0,1.0,0.0,0.0,1.0,0.25,0.6666666666666667,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.6010308672902106,1.0,1.0,0.0,0.0,0.0,0.0,0,3
7,0.0,0.0,0.0,0.0,1.0,0.18181818181818182,1.0,0.0,1.0,0.0,0.65,0.0,0.0,1.0,1.0,0.2,0.25,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9925724523021927,1.0,1.0,0.0,0.0,0.0,0.0,0,2
8,0.0,0.0,1.0,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.35000000000000003,0.0,0.0,1.0,1.0,1.0,0.25,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.8571428571428571,0.0,0.0,1.0,0.0,0.0,0.0,0.5734221753240081,1.0,1.0,0.0,0.0,0.0,0.0,0,2
9,0.0,0.0,0.0,0.0,1.0,0.09090909090909091,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.25,0.6666666666666667,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.7890215350755269,0.0,1.0,1.0,0.0,0.0,0.0,0,3
